epoch,train_c_loss,train_c_accuracy,val_c_loss,val_c_accuracy,test_c_loss,test_c_accuracy
0,3.00984490279,0.238873106061,3.47109835723,0.102370689655,-1,-1
1,1.94864485481,0.360321969697,3.68481273076,0.0991379310345,-1,-1
2,1.70534288522,0.420691287879,3.52242135591,0.1015625,-1,-1
3,1.59746499856,0.474668560606,5.205307533,0.096713362069,-1,-1
4,1.5060182846,0.49384469697,3.57677670183,0.120959051724,-1,-1
5,1.47926930225,0.514204545455,4.29247325864,0.145878232759,-1,-1
6,1.26421612682,0.562026515152,3.78910638957,0.117456896552,-1,-1
7,1.18102853948,0.593513257576,3.95092359494,0.145743534483,-1,-1
8,1.04544934721,0.642045454545,3.69274111863,0.160290948276,-1,-1
9,1.02121063977,0.667850378788,3.88503912811,0.195851293103,-1,-1
10,0.924762156877,0.688210227273,3.9072846092,0.207704741379,-1,-1
11,0.909763645042,0.700047348485,2.89271700793,0.265355603448,-1,-1
12,0.800114351692,0.7265625,2.50677463926,0.355738146552,-1,-1
13,0.665444775061,0.775331439394,2.72245125113,0.379579741379,-1,-1
14,0.629135641185,0.791193181818,2.38917733472,0.439520474138,-1,-1
15,0.587002630487,0.793797348485,2.42743341265,0.43197737069,-1,-1
16,0.511022568652,0.835700757576,2.33954787871,0.467672413793,-1,-1
17,0.522367333824,0.81865530303,2.6326268788,0.471848060345,-1,-1
18,0.433980264447,0.858664772727,2.47536141502,0.490975215517,-1,-1
19,0.47988930164,0.842329545455,2.72156632563,0.517106681034,-1,-1
20,0.374379614086,0.868607954545,2.3874104023,0.542160560345,-1,-1
21,0.296231615272,0.90459280303,2.72023378981,0.509024784483,-1,-1
22,0.280289338394,0.902935606061,2.66467330579,0.51010237069,-1,-1
23,0.327198573134,0.893702651515,2.75895751345,0.513739224138,-1,-1
24,0.295636847615,0.90459280303,2.84335901819,0.533270474138,-1,-1
25,0.28222639362,0.906723484848,2.77752736519,0.52896012931,-1,-1
26,0.203985683846,0.928503787879,2.59238026471,0.546336206897,-1,-1
27,0.221144654083,0.92353219697,3.3683324559,0.496497844828,-1,-1
28,0.190374358134,0.934659090909,2.94994561837,0.527882543103,-1,-1
29,0.171065709808,0.935132575758,2.79928105247,0.545123922414,-1,-1
30,0.177761952082,0.941524621212,3.12923786147,0.509159482759,-1,-1
31,0.168136173916,0.940814393939,2.95984668978,0.537850215517,-1,-1
32,0.174966666735,0.94696969697,2.9164512959,0.540005387931,-1,-1
33,0.167515052765,0.948863636364,2.92999682344,0.531519396552,-1,-1
34,0.142087839092,0.951231060606,3.19406573526,0.53125,-1,-1
35,0.129185958568,0.955492424242,2.87546052193,0.555360991379,-1,-1
36,0.100056603099,0.965198863636,3.23612057752,0.543911637931,-1,-1
37,0.115572435951,0.961410984848,3.34113497159,0.546066810345,-1,-1
38,0.116234930176,0.960700757576,3.3672215322,0.525996767241,-1,-1
39,0.146803134319,0.957149621212,3.30930600084,0.517510775862,-1,-1
40,0.112739653185,0.96259469697,3.1475270781,0.535964439655,-1,-1
41,0.0970673005689,0.963304924242,3.18596152602,0.532462284483,-1,-1
42,0.129041712731,0.959043560606,3.83790536585,0.521551724138,-1,-1
43,0.131371619123,0.959043560606,3.07752190787,0.535425646552,-1,-1
44,0.100223334788,0.965435606061,3.21272445136,0.533135775862,-1,-1
45,0.104464701518,0.965435606061,3.32042249318,0.549299568966,-1,-1
46,0.0953924068899,0.968039772727,2.99292448882,0.55630387931,-1,-1
47,0.0772605179386,0.973248106061,3.1701991928,0.54135237069,-1,-1
48,0.0735458895338,0.97490530303,3.02576658232,0.555091594828,-1,-1
49,0.0867415409761,0.968276515152,3.66242521385,0.512796336207,-1,-1
50,0.105182977393,0.96709280303,3.16785162893,0.554283405172,-1,-1
51,0.0847789878308,0.973011363636,3.24909264466,0.544854525862,-1,-1
52,0.086874826783,0.969933712121,3.55393320117,0.538389008621,-1,-1
53,0.0959874296166,0.966619318182,3.01283212777,0.545662715517,-1,-1
54,0.0836556593916,0.97040719697,3.28102603041,0.557516163793,-1,-1
55,0.0729243699461,0.975852272727,3.43113727405,0.540948275862,-1,-1
56,0.0574812280635,0.978929924242,3.20246215113,0.542564655172,-1,-1
57,0.0869915287547,0.970643939394,3.43487917555,0.536099137931,-1,-1
58,0.0979386153208,0.969696969697,3.52864924793,0.554418103448,-1,-1
59,0.0862108253959,0.971827651515,3.3689231256,0.542025862069,-1,-1
60,0.0947822746962,0.969460227273,3.63575040061,0.527747844828,-1,-1
61,0.0829429532204,0.971354166667,3.87375848458,0.547683189655,-1,-1
62,0.076305677945,0.97490530303,3.87389935707,0.543103448276,-1,-1
63,0.0668899010528,0.977035984848,3.16901751633,0.559806034483,-1,-1
64,0.0660354294109,0.980113636364,3.26240289211,0.556034482759,-1,-1
65,0.0635031375921,0.979403409091,3.24316854313,0.560344827586,-1,-1
66,0.050598783983,0.981060606061,3.33925841183,0.558997844828,-1,-1
67,0.0979466598594,0.968986742424,3.88651852361,0.528825431034,-1,-1
68,0.102279818984,0.968986742424,3.59372342866,0.557381465517,-1,-1
